 Id,X,Y,Slice
1,34.5,6.214,1
2,138.857,46,1
3,73.286,51.143,1
4,63,34.429,1
5,97.714,103.857,1
6,144,91,1
7,1.286,97.429,1
8,56.571,200.286,1
9,46.286,220.857,1
10,16.714,227.286,1
11,5.143,232.429,1
12,14.143,265.857,1
13,20.571,283.857,1
14,11.571,298,1
15,73.286,281.286,1
16,119.571,259.429,1
17,119.571,242.714,1
18,111.857,210.571,1
19,66.857,299.286,1
20,95.143,295.429,1
21,74.571,319.857,1
22,59.143,337.857,1
23,25.714,350.714,1
24,36,379,1
25,64.286,363.571,1
26,92.571,372.571,1
27,114.429,354.571,1
28,142.714,361,1
29,128.571,402.143,1
30,124.714,388,1
31,168.429,318.571,1
32,39.857,444.571,1
33,91.286,448.429,1
34,114.429,433,1
35,108,448.429,1
36,88.714,489.571,1
37,115.714,492.143,1
38,146.571,470.286,1
39,160.714,438.143,1
40,172.286,400.857,1
41,205.714,425.286,1
42,212.143,460,1
43,222.429,465.143,1
44,60.429,543.571,1
45,78.429,593.714,1
46,88.714,577,1
47,101.571,592.429,1
48,90,596.286,1
49,78.429,615.571,1
50,84.857,625.857,1
51,72,706.857,1
52,154.286,714.571,1
53,165.857,652.857,1
54,195.429,589.857,1
55,290.571,557.714,1
56,263.571,466.429,1
57,221.143,643.857,1
58,243,681.143,1
59,243,701.714,1
60,280.286,650.286,1
61,289.286,622,1
62,316.286,627.143,1
63,313.714,704.286,1
64,327.857,543.571,1
65,276.429,375.143,1
66,259.714,303.143,1
67,171,101.286,1
68,200.571,157.857,1
69,219.857,229.857,1
70,248.143,79.429,1
71,252,109,1
72,262.286,165.571,1
73,254.571,244,1
74,286.714,215.714,1
75,294.429,196.429,1
76,308.571,222.143,1
77,331.714,201.571,1
78,334.286,173.286,1
79,307.286,10,1
80,356.143,75.571,1
81,370.286,58.857,1
82,393.429,47.286,1
83,291.857,85.857,1
84,405,110.286,1
85,419.143,114.143,1
86,434.571,121.857,1
87,442.286,89.714,1
88,457.714,88.429,1
89,312.429,271,1
90,327.857,280,1
91,365.143,226,1
92,371.571,259.429,1
93,430.714,204.143,1
94,430.714,265.857,1
95,448.714,250.429,1
96,421.714,304.429,1
97,348.429,362.286,1
98,293.143,424,1
99,396,367.429,1
100,414,372.571,1
101,406.286,388,1
102,351,460,1
103,333,476.714,1
104,362.571,517.857,1
105,411.429,474.143,1
106,423,475.429,1
107,444.857,463.857,1
108,459,461.286,1
109,482.143,449.714,1
110,461.571,417.571,1
111,477,379,1
112,457.714,318.571,1
113,478.286,317.286,1
114,482.143,285.143,1
115,471.857,334,1
116,514.286,408.571,1
117,527.143,394.429,1
118,541.286,389.286,1
119,550.286,326.286,1
120,556.714,318.571,1
121,529.714,303.143,1
122,538.714,294.143,1
123,389.571,534.571,1
124,362.571,600.143,1
125,384.429,618.143,1
126,390.857,650.286,1
127,397.286,694,1
128,408.857,690.143,1
129,425.571,676,1
130,363.857,704.286,1
131,450,508.857,1
132,466.714,505,1
133,482.143,656.714,1
134,523.286,661.857,1
135,534.857,649,1
136,550.286,651.571,1
137,537.429,605.286,1
138,546.429,588.571,1
139,534.857,561.571,1
140,524.571,552.571,1
141,519.429,535.857,1
142,538.714,502.429,1
143,585,430.429,1
144,551.571,703,1
145,581.143,655.429,1
146,578.571,624.571,1
147,603,628.429,1
148,628.714,622,1
149,646.714,629.714,1
150,622.286,645.143,1
151,596.571,678.571,1
152,645.429,691.429,1
153,662.143,691.429,1
154,669.857,713.286,1
155,708.429,703,1
156,696.857,623.286,1
157,657,569.286,1
158,639,578.286,1
159,651.857,577,1
160,721.286,538.429,1
161,640.286,492.143,1
162,626.143,431.714,1
163,513,218.286,1
164,529.714,174.571,1
165,510.429,200.286,1
166,465.429,175.857,1
167,549,193.857,1
168,501.429,70.429,1
169,520.714,44.714,1
170,470.571,7.429,1
171,432,1,1
172,531,8.714,1
173,550.286,11.286,1
174,596.571,6.143,1
175,588.857,33.143,1
176,599.143,116.714,1
177,617.143,121.857,1
178,654.429,58.857,1
179,651.857,33.143,1
180,686.571,31.857,1
181,713.571,40.857,1
182,712.286,93.571,1
183,744.429,100,1
184,758.571,133.429,1
185,640.286,146.286,1
186,671.143,138.571,1
187,687.857,161.714,1
188,686.571,170.714,1
189,639,178.429,1
190,699.429,193.857,1
191,618.429,238.857,1
192,612,308.286,1
193,650.571,340.429,1
194,672.429,330.143,1
195,695.571,296.714,1
196,734.143,255.571,1
197,768.857,181,1
198,804.857,254.286,1
199,771.429,286.429,1
200,768.857,298,1
201,671.143,373.857,1
202,744.429,397,1
203,729,440.714,1
204,700.714,463.857,1
205,771.429,427.857,1
206,822.857,421.429,1
207,852.429,390.571,1
208,835.714,461.286,1
209,824.143,521.714,1
210,304.714,349.429,1
211,639,359.714,1
212,527.143,112.857,1
213,596.571,67.857,1
214,795.857,136,1
215,810,110.286,1
216,861.429,103.857,1
217,883.286,24.143,1
218,858.857,130.857,1
219,924.429,147.571,1
220,892.286,169.429,1
221,923.143,202.857,1
222,892.286,229.857,1
223,891,251.714,1
224,864,282.571,1
225,847.286,318.571,1
226,907.714,289,1
227,919.286,308.286,1
228,927,271,1
229,937.286,251.714,1
230,928.286,237.571,1
231,936,168.143,1
232,973.286,209.286,1
233,995.143,204.143,1
234,975.857,85.857,1
235,975.857,67.857,1
236,987.429,48.571,1
237,984.857,6.143,1
238,1056.857,46,1
239,1114.714,4.857,1
240,1188,119.286,1
241,1171.286,87.143,1
242,1216.286,85.857,1
243,1263.857,37,1
244,1185.429,61.429,1
245,1119.857,47.286,1
246,1099.286,70.429,1
247,1116,115.429,1
248,1081.286,130.857,1
249,1000.286,133.429,1
250,1089,177.143,1
251,1107,187.429,1
252,1221.429,173.286,1
253,1251,133.429,1
254,1269,222.143,1
255,1060.714,233.714,1
256,1050.429,215.714,1
257,1044,223.429,1
258,1035,244,1
259,1018.286,262,1
260,946.286,375.143,1
261,977.143,394.429,1
262,1015.714,399.571,1
263,1087.714,330.143,1
264,1132.714,282.571,1
265,1194.429,244,1
266,1172.572,210.571,1
267,1288.286,292.857,1
268,1280.572,346.857,1
269,1230.429,290.286,1
270,1267.714,381.571,1
271,1278,375.143,1
272,1212.429,375.143,1
273,1221.429,412.429,1
274,1161,385.429,1
275,1150.714,427.857,1
276,1182.857,435.571,1
277,1116,433,1
278,1172.572,470.286,1
279,1238.143,508.857,1
280,1248.429,471.571,1
281,1053,474.143,1
282,1159.714,524.286,1
283,1009.286,494.714,1
284,1014.429,523,1
285,968.143,485.714,1
286,978.429,484.429,1
287,905.143,544.857,1
288,966.857,591.143,1
289,960.429,610.429,1
290,919.286,650.286,1
291,945,676,1
292,897.429,641.286,1
293,887.143,627.143,1
294,838.286,611.714,1
295,792,582.143,1
296,770.143,595,1
297,842.143,679.857,1
298,933.429,687.571,1
299,1033.714,601.429,1
300,1064.572,604,1
301,1071,575.714,1
302,1100.572,618.143,1
303,1103.143,606.571,1
304,1182.857,586,1
305,1140.429,547.429,1
306,1080,687.571,1
307,1119.857,706.857,1
308,1141.714,654.143,1
309,1173.857,650.286,1
310,1181.572,690.143,1
311,1243.286,658,1
312,1227.857,714.571,1
313,32.143,2.286,2
314,140.143,46,2
315,145.286,89.714,2
316,182.571,105.143,2
317,252,100,2
318,252,80.714,2
319,79.714,58.857,2
320,64.286,43.429,2
321,59.143,202.857,2
322,42.429,222.143,2
323,14.143,228.571,2
324,3.857,238.857,2
325,24.429,282.571,2
326,11.571,301.857,2
327,77.143,277.429,2
328,118.286,247.857,2
329,75.857,323.714,2
330,68.143,299.286,2
331,65.571,337.857,2
